year,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,company_ind,Earnings from Equity Interest Net of Tax,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest
9/30/2022,"394,328,000","223,546,000","170,782,000","51,345,000","119,437,000","-106,000","-228,000","119,103,000","19,300,000","99,803,000","99,803,000",-,-,-,-,"119,437,000","274,891,000","99,803,000","99,803,000","2,825,000","2,931,000","-106,000","122,034,000","133,138,000","223,546,000",AAPL,,,
9/30/2022,"394,328,000","223,546,000","170,782,000","51,345,000","119,437,000","-106,000","-228,000","119,103,000","19,300,000","99,803,000","99,803,000",-,-,-,-,"119,437,000","274,891,000","99,803,000","99,803,000","2,825,000","2,931,000","-106,000","122,034,000",-,"223,546,000",AAPL,,,
9/30/2021,"365,817,000","212,981,000","152,836,000","43,887,000","108,949,000","198,000","60,000","109,207,000","14,527,000","94,680,000","94,680,000",5.67,5.61,"16,701,272","16,864,919","108,949,000","256,868,000","94,680,000","94,680,000","2,843,000","2,645,000","198,000","111,852,000",-,"212,981,000",AAPL,,,
9/30/2020,"274,515,000","169,559,000","104,956,000","38,668,000","66,288,000","890,000","-87,000","67,091,000","9,680,000","57,411,000","57,411,000",3.31,3.28,"17,352,119","17,528,214","66,288,000","208,227,000","57,411,000","57,411,000","3,763,000","2,873,000","890,000","69,964,000",-,"169,559,000",AAPL,,,
9/30/2019,"260,174,000","161,782,000","98,392,000","34,462,000","63,930,000","1,385,000","422,000","65,737,000","10,481,000","55,256,000","55,256,000",2.99,2.97,"18,471,336","18,595,652","63,930,000","196,244,000","55,256,000","55,256,000","4,961,000","3,576,000","1,385,000","69,313,000",-,"161,782,000",AAPL,,,
9/30/2022,"502,191,000","437,379,000","64,812,000","51,841,000","12,971,000","-1,493,000","-1,518,000","9,960,000","-1,378,000","11,323,000","11,323,000",-,-,-,-,"12,971,000","489,220,000","11,323,000","12,157,600","662,000","2,155,000","-1,493,000","12,115,000","50,693,000","437,379,000",AMZN,"-15,000","38,578,000","11,323,000"
12/31/2021,"469,822,000","403,507,000","66,315,000","41,436,000","24,879,000","-1,361,000","14,633,000","38,151,000","4,791,000","33,364,000","33,364,000",3.30,3.24,"10,120,000","10,300,000","24,879,000","444,943,000","33,364,000","20,551,997","448,000","1,809,000","-1,361,000","39,960,000",-,"403,507,000",AMZN,"4,000","34,296,000","33,364,000"
12/31/2020,"386,064,000","334,564,000","51,500,000","28,601,000","22,899,000","-1,092,000","2,371,000","24,178,000","2,863,000","21,331,000","21,331,000",2.13,2.09,"10,000,000","10,200,000","22,899,000","363,165,000","21,331,000","21,331,000","555,000","1,647,000","-1,092,000","25,825,000",-,"334,564,000",AMZN,"16,000","25,251,000","21,331,000"
12/31/2019,"280,522,000","241,699,000","38,823,000","24,282,000","14,541,000","-768,000","203,000","13,976,000","2,374,000","11,588,000","11,588,000",1.17,1.15,"9,880,000","10,080,000","14,541,000","265,981,000","11,588,000","11,588,000","832,000","1,600,000","-768,000","15,576,000",-,"241,699,000",AMZN,"-14,000","21,789,000","11,588,000"
12/31/2018,"232,887,000","202,020,000","30,867,000","18,446,000","12,421,000","-977,000","-183,000","11,261,000","1,197,000","10,073,000","10,073,000",1.03,1.01,"9,740,000","10,000,000","12,421,000","220,466,000","10,073,000","10,073,000","440,000","1,417,000","-977,000","12,678,000",-,"202,020,000",AMZN,"9,000","15,341,000","10,073,000"
9/30/2022,"203,075,000","64,456,000","138,619,000","53,956,000","84,663,000","191,000","-90,000","84,764,000","14,975,000","69,789,000","69,789,000",-,-,-,-,"84,663,000","118,412,000","69,789,000","69,806,290","2,215,000","2,024,000","191,000","86,788,000","100,826,000","64,456,000",MSFT,,"14,038,000","69,789,000"
6/30/2022,"198,270,000","62,650,000","135,620,000","52,237,000","83,383,000","31,000","302,000","83,716,000","10,978,000","72,738,000","72,738,000",9.70,9.65,"7,496,000","7,540,000","83,383,000","114,887,000","72,738,000","72,447,420","2,094,000","2,063,000","31,000","85,779,000",-,"62,650,000",MSFT,,"14,460,000","72,738,000"
6/30/2021,"168,088,000","52,232,000","115,856,000","45,940,000","69,916,000","-215,000","1,401,000","71,102,000","9,831,000","61,271,000","61,271,000",8.12,8.05,"7,547,000","7,608,000","69,916,000","98,172,000","61,271,000","60,150,420","2,131,000","2,346,000","-215,000","73,448,000",-,"52,232,000",MSFT,,"11,686,000","61,271,000"
6/30/2020,"143,015,000","46,078,000","96,937,000","43,978,000","52,959,000","89,000","-12,000","53,036,000","8,755,000","44,281,000","44,281,000",5.82,5.76,"7,610,000","7,683,000","52,959,000","90,056,000","44,281,000","44,257,620","2,680,000","2,591,000","89,000","55,627,000",-,"46,078,000",MSFT,,"12,796,000","44,281,000"
6/30/2019,"125,843,000","42,910,000","82,933,000","39,974,000","42,959,000","76,000","653,000","43,688,000","4,448,000","39,240,000","39,240,000",5.11,5.06,"7,673,000","7,753,000","42,959,000","82,884,000","39,240,000","38,602,420","2,762,000","2,686,000","76,000","46,374,000",-,"42,910,000",MSFT,,"11,682,000","39,240,000"
